Name	Start	Duration	Time Format	Type	Description
ドイツでのお金	0:00.000	0:00.000	decimal	Cue	
La Pensée	3:40.703	0:00.000	decimal	Cue	
ゆりかごから墓場まで	6:53.968	0:00.000	decimal	Cue	
自然の摂理	9:12.450	0:00.000	decimal	Cue	
"OK"の感覚	11:56.440	0:00.000	decimal	Cue	
中学時代の事故	13:55.567	0:00.000	decimal	Cue	
オヤジラン	21:46.762	0:00.000	decimal	Cue	
本編・すぐるおかえり	32:45.559	0:00.000	decimal	Cue	
麻雀	33:23.099	0:00.000	decimal	Cue	
札幌のキャバクラ	37:27.089	0:00.000	decimal	Cue	
ハンブルクと飾り窓	41:13.190	0:00.000	decimal	Cue	
飾り窓	54:05.839	0:00.000	decimal	Cue	
船のお仕事でオーストラリアへ	1:00:35.992	0:00.000	decimal	Cue	
船で待つ問題	1:15:11.998	0:00.000	decimal	Cue	
船員とのコミュニケーション	1:20:17.835	0:00.000	decimal	Cue	
気遣いという文化	1:22:57.794	0:00.000	decimal	Cue	
Marker 07	1:34:22.357	0:00.000	decimal	Cue	
船での信頼関係	1:38:38.993	0:00.000	decimal	Cue	
一般の会社内での人間関係	1:41:53.173	0:00.000	decimal	Cue	
好きなポイント　　を見つける	1:48:53.283	0:00.000	decimal	Cue	
第一印象	1:56:04.871	0:00.000	decimal	Cue	
心の余裕と文脈の大切さ	2:00:04.515	0:00.000	decimal	Cue	
着火剤	2:10:34.911	0:00.000	decimal	Cue	
個別論で正当化vs一般論	2:15:44.931	0:00.000	decimal	Cue	
ごめんね	2:21:27.243	0:00.000	decimal	Cue	
まとめ	2:26:30.298	0:00.000	decimal	Cue	
